样点地价,级别,功能分,等级,面积_1,折现年份,设定功能分,贴现系数,等级_1,级别价,距车站距离,级别价评估,区片价评估,测算容积率,用途_E,乡镇名称_E,名称_E,规划用途_E,开发程度_E,规划用途_1_E,开发程度_1_E,分类_E,主要区域_E,DLBM_E,DLMC_E,ZLDWMC_E,BZ_E,用途_1_E,区片_E,容积率_1_E,商服评价_E,市场评价_E,车站评价_E,银行评价_E,文娱评价_E,评估用途_E
4158.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2243.00,750.00,2460.00,2243.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,3.00,9.00,7.00,15.00
3964.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2243.00,750.00,2460.00,2243.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,3.00,9.00,7.00,15.00
3911.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,890.00,0.00,890.00,0.00,3.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,9.00,9.00,65.00,4.00,2.00,17.00,28.00,7.00,2.00,2.00,2.00,2.00,8.00
3716.00,1.00,100.00,2.00,72364.26,0.00,60.00,1.00,2.00,890.00,650.00,2460.00,2558.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,9.00,9.00,65.00,2.00,2.00,17.00,31.00,7.00,6.00,3.00,7.00,8.00,15.00
4298.00,1.00,100.00,2.00,72364.26,0.00,60.00,1.00,2.00,890.00,650.00,2460.00,2558.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,9.00,9.00,65.00,2.00,2.00,17.00,31.00,7.00,6.00,3.00,7.00,8.00,15.00
4104.00,1.00,100.00,2.00,72364.26,0.00,60.00,1.00,2.00,2558.00,550.00,2460.00,2558.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,31.00,7.00,6.00,6.00,9.00,8.00,15.00
4201.00,1.00,100.00,1.00,243920.07,8.05,74.80,0.62,0.28,2558.00,550.00,2460.00,2558.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
3996.00,1.00,100.00,2.00,72364.26,0.00,60.00,1.00,2.00,2558.00,450.00,2460.00,2558.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4137.00,1.00,100.00,1.00,240541.59,8.05,72.50,0.62,0.28,4200.00,550.00,2460.00,2558.00,0.00,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,12.00,12.00,65.00,4.00,4.00,46.00,21.00,7.00,7.00,6.00,7.00,8.00,13.00
4502.00,1.00,100.00,1.00,225403.21,8.05,65.10,0.62,0.28,2388.00,300.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,31.00,7.00,7.00,5.00,9.00,8.00,15.00
4413.00,1.00,100.00,1.00,219681.14,8.05,75.10,0.62,0.28,2388.00,550.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4316.00,1.00,100.00,1.00,224867.84,8.05,65.10,0.62,0.28,2388.00,300.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,31.00,7.00,7.00,5.00,9.00,8.00,15.00
4070.00,1.00,100.00,1.00,200680.03,8.05,73.80,0.62,0.28,4200.00,250.00,3990.00,4200.00,4.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,12.00,12.00,65.00,4.00,4.00,46.00,32.00,7.00,7.00,7.00,9.00,2.00,13.00
4739.00,1.00,100.00,1.00,199768.52,8.05,61.20,0.62,0.28,2558.00,250.00,3990.00,4200.00,7.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,33.00,7.00,7.00,7.00,9.00,2.00,13.00
5127.00,1.00,100.00,1.00,206169.70,8.05,62.60,0.62,0.28,890.00,250.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,9.00,9.00,65.00,4.00,2.00,17.00,31.00,7.00,7.00,5.00,9.00,8.00,15.00
3664.00,1.00,100.00,2.00,22139.84,0.00,80.00,1.00,2.00,4200.00,250.00,3990.00,4200.00,4.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,12.00,12.00,65.00,4.00,4.00,46.00,32.00,7.00,7.00,7.00,9.00,2.00,13.00
3826.00,1.00,100.00,1.00,244670.83,8.05,75.10,0.62,0.28,2243.00,850.00,2460.00,2243.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,4.00,9.00,6.00,15.00
3535.00,1.00,100.00,2.00,75562.87,0.00,80.00,1.00,2.00,2388.00,700.00,2460.00,2388.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,42.00,31.00,7.00,7.00,3.00,9.00,7.00,15.00
3971.00,1.00,100.00,1.00,244670.83,8.05,75.10,0.62,0.28,2243.00,850.00,2460.00,2243.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,4.00,9.00,6.00,15.00
3826.00,1.00,100.00,1.00,243920.07,8.05,74.80,0.62,0.28,2558.00,550.00,2460.00,2558.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4068.00,1.00,100.00,2.00,29042.30,0.00,80.00,1.00,2.00,4200.00,550.00,2460.00,2388.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,12.00,12.00,65.00,4.00,4.00,46.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4068.00,1.00,100.00,1.00,243920.07,8.05,74.80,0.62,0.28,2558.00,550.00,2460.00,2558.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
3728.00,1.00,100.00,1.00,237688.77,8.05,63.30,0.62,0.28,2558.00,250.00,2460.00,2558.00,7.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,33.00,7.00,7.00,5.00,9.00,8.00,15.00
3826.00,1.00,100.00,2.00,16354.83,0.00,60.00,1.00,2.00,2558.00,250.00,3990.00,4200.00,7.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,33.00,7.00,7.00,7.00,9.00,2.00,13.00
3971.00,1.00,100.00,1.00,213569.93,8.05,54.90,0.62,0.28,0.00,0.00,0.00,0.00,0.00,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,15.00,15.00,65.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
