OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,样点编号,用途,乡镇名称,样点地价,最近路距,Id,面积,评价,作用分,级别,区域,名称,功能分,规划用途,开发程度,等级,Id_1,规划用途_1,面积_1,开发程度_1,折现年份,设定功能分,贴现系数,折现分数,等级_1,分类,主要区域,作用半径,OBJECTID_1,服务半径,ET_ID,容积率,用地类型,ET_Gaps,Id_12,道路名称,道路类型,长度,交通量预测,住宅道路类,商业道路类,工业道路类,住宅功能分,商业功能分,工业功能分,等级_12,作用半径_1,功能分_1,按城镇类型,按商业分,按住宅分,按工业分,商业指数,住宅指数,工业指数,道路服务水,道路长度,道路宽度,人行道宽,Id_12_13,作用分_1,作用半径_12,名称_1,级别_1,站点名称,功能分_12,作用分值,医院名称,等级_12_13,序号,医院名称_1,位置,所在区域（,占地面积（,建筑面积（,开办性质,等级_12_13_14,医院类型,医护人员数,有职称人员,科室数,病床数,年均门诊人,年均住院数,学校名称,办学类型_1,城乡类型,坐落,班级数_1,学生人数_1,教职工数,占地面积_1,教室（间_1,银行名称,窗口数,POINT_X,POINT_Y,TBBH,DLBM,DLMC,QSXZ,ZLDWDM,ZLDWMC,TBMJ,TBDLMJ,XZDWKD,CZCSXM,SJNF,BZ,SHAPE_Leng,xzdm,RuleID,分类_1,用途_1,区片,级别价,控规用途,容积率_1,距商服范围,距市场距离,距车站距离,距银行距离,距学校距离,距医疗距离,距文娱距离,商服评价,市场评价,车站评价,银行评价,学校评价,医疗评价,文娱评价,编号,级别价评估,区片价评估,测算容积率,评估用途,面积_公顷
537,0,537,1,537,0,537,0,537,fxz17,住宅用地,新福镇,1654,17.15514408,,,,,,,,,,,,,,,,,,,,,,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36598681.96,2492082.911,957,0701,城镇住宅用地,20,4501271040010000000,新福社区居委会,5457.737544,5456.43,0,202,2019, ,370.1394309,450127104,18,建设用地,住宅用地,一级,910, , ,0,0,0,100,150,350,0,优, , ,较优,较优,优, ,B2520,910,0,0,城镇住宅用地,0.54577375
538,0,538,1,538,0,538,0,538,fxz18,住宅用地,新福镇,1613,19.88948206,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36598606.91,2492020.083,940,0701,城镇住宅用地,20,4501271040010000000,新福社区居委会,10040.50041,10038.09,0,202,2019, ,663.2372604,450127104,18,建设用地,住宅用地,一级,910, , ,0,0,0,100,50,350,0,优, , ,较优,优,优, ,B2518,910,0,0,城镇住宅用地,1.00405004
539,0,539,1,539,0,539,0,539,fz1,住宅用地,新福镇,1598,21.02017042,,,,,,,,,,,,,,,,,,,,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36600053.93,2504164.957,347,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,23391.3805,23385.59,0,202,2019, ,1056.187817,450127104,18,建设用地,住宅用地,二级,570, , ,0,0,0,0,150,250,0,优, , ,劣,优,优, ,B2749,570,0,0,城镇住宅用地,1.31947065
540,0,540,1,540,0,540,0,540,fz2,住宅用地,新福镇,1625,17.55642294,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36600030.36,2504191.509,327,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,7229.705963,7227.92,0,202,2019, ,398.7765956,450127104,18,建设用地,住宅用地,二级,570, , ,0,0,0,0,200,100,0,优, , ,劣,优,优, ,B2752,570,0,0,城镇住宅用地,0.7229706
541,0,541,1,541,0,541,0,541,fz3,住宅用地,新福镇,1537,18.6385711,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36600005.66,2504224.82,327,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,7229.705963,7227.92,0,202,2019, ,398.7765956,450127104,18,建设用地,住宅用地,二级,570, , ,0,0,0,0,200,100,0,优, , ,劣,优,优, ,B2752,570,0,0,城镇住宅用地,0.7229706
542,0,542,1,542,0,542,0,542,fz4,住宅用地,新福镇,1549,14.73955354,,,,,,,,,,,,,,,,,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36599971.33,2504194.995,318,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,16538.19755,16534.12,0,202,2019, ,1028.956145,450127104,18,建设用地,住宅用地,二级,570, , ,0,0,0,0,100,100,0,优, , ,劣,优,优, ,B8858,570,0,0,城镇住宅用地,0.78220613
543,0,543,1,543,0,543,0,543,fz5,住宅用地,新福镇,1472,7.397822732,,,,,,,,,,,,,,,,,,,,,,,,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36599938.32,2504246.773,318,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,16538.19755,16534.12,0,202,2019, ,1028.956145,450127104,18,建设用地,住宅用地,二级,570, , ,0,0,0,0,100,100,0,优, , ,劣,优,优, ,B8858,570,0,0,城镇住宅用地,0.78220613
544,0,544,1,544,0,544,0,544,fz6,住宅用地,新福镇,1510,7.233670382,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36599926,2504246.247,318,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,16538.19755,16534.12,0,202,2019, ,1028.956145,450127104,18,建设用地,住宅用地,二级,570, , ,0,0,0,0,100,100,0,优, , ,劣,优,优, ,B8858,570,0,0,城镇住宅用地,0.78220613
545,0,545,1,545,0,545,0,545,fz7,住宅用地,新福镇,1537,16.6884859,,,,,,,,,,,,,,,,,,,,,,,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36599930.72,2504233.327,318,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,16538.19755,16534.12,0,202,2019, ,1028.956145,450127104,18,建设用地,住宅用地,二级,570, , ,0,0,0,0,100,100,0,优, , ,劣,优,优, ,B8858,570,0,0,城镇住宅用地,0.78220613
546,0,546,1,546,0,546,0,546,fz8,住宅用地,新福镇,1431,5.149057639,,,,,,,,,,,,,,,,,,,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36599891.84,2504226.853,316,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,19847.85502,19842.97,0,202,2019, ,1053.504243,450127104,18,建设用地,住宅用地,三级,310, , ,0,0,0,0,100,50,0,优, , ,劣,优,优, ,B2756,310,0,0,城镇住宅用地,1.9847855
547,0,547,1,547,0,547,0,547,fz9,住宅用地,新福镇,1229,7.830150917,,,,,,,,,,,,,,,,,,,,,,,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36599815.56,2504077.056,314,08H2,科教文卫用地,20,4501271040020000000,关塘社区居委会,259.744778,259.68,0,202,2019, ,73.58811198,450127104,24,建设用地,公共管理与公共服务用地,三级,240, , ,0,0,0,0,0,0,0, , , , , , , ,B2743,240,0,0,科教文卫用地,0.02597448
548,0,548,1,548,0,548,0,548,fz10,住宅用地,新福镇,1188,16.37270464,,,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36599777.98,2504074.255,309,0701,城镇住宅用地,20,4501271040020000000,关塘社区居委会,6138.563382,6137.06,0,202,2019, ,463.6037138,450127104,18,建设用地,住宅用地,三级,310, , ,200,0,0,0,100,250,0,优, , ,劣,优,优, ,B2748,310,0,0,城镇住宅用地,0.61385634
549,0,549,1,549,0,549,0,549,YB001,住宅用地,云表镇,1906,21.88101683,,,,,,,,,,,,,,,,,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36641897.99,2534244.751,4448,0701,城镇住宅用地,20,4501271142030000000,福塘村委会,17348.9058,17340.26,0,202,2020, ,1090.064025,450127114,18,建设用地,住宅用地,二级,630,商业服务业设施用地,1.5-2.5,250,0,0,50,350,250,0,较优, , ,优,较优,优, ,B7688,800,0,2.5,商业服务业设施用地,1.19782524
550,0,550,1,550,0,550,0,550,YB002,住宅用地,云表镇,1853,5.651404884,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36641692.65,2534396.316,1506,0701,城镇住宅用地,20,4501271142030000000,福塘村委会,20312.98126,20302.91,0,202,2019, ,1230.088464,450127114,18,建设用地,住宅用地,二级,630,商业服务业设施用地,1.5-2.5,350,0,0,50,500,400,0,较优, , ,优,较优,较优, ,B6480,800,0,2.5,商业服务业设施用地,1.22158211
551,0,551,1,551,0,551,0,551,YB003,住宅用地,云表镇,2052,11.56275191,,,,,,,,,,,,,,,,,,,,,,,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36641992.57,2534595.89,282,0701,城镇住宅用地,20,4501271142030000000,福塘村委会,14297.87071,14290.75,0,202,2019, ,675.5625373,450127114,18,建设用地,住宅用地,二级,630,城镇住宅用地,0.5-1.5,75,0,0,50,250,100,0,优, , ,优,优,优, ,B6502,630,0,1.5,城镇住宅用地,1.42978707
552,0,552,1,552,0,552,0,552,YB004,住宅用地,云表镇,2157,10.50628963,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36641836.34,2534777.041,2147,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,25868.11646,25855.27,0,202,2020, ,1401.021611,450127114,18,建设用地,住宅用地,二级,630,城镇住宅用地,0.5-1.5,50,0,0,100,150,200,0,优, , ,优,优,优, ,B7687,630,0,1.5,城镇住宅用地,1.87405875
553,0,553,1,553,0,553,0,553,YB005,住宅用地,云表镇,2527,5.259184624,,,,,,,,,,,,,,,,,,,,,,,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36641894.36,2534860.077,2147,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,25868.11646,25855.27,0,202,2020, ,1401.021611,450127114,18,建设用地,住宅用地,一级,1000,商业服务业设施用地,1.5-2.5,10,0,0,50,150,150,0,优, , ,优,较优,优, ,B8224,1455,0,2.5,商业服务业设施用地,0.27131401
554,0,554,1,554,0,554,0,554,YB006,住宅用地,云表镇,2527,8.827441546,,,,,,,,,,,,,,,,,,,,,,,,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642042.65,2534886.64,851,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,13988.61347,13981.66,0,202,2019, ,879.4985149,450127114,18,建设用地,住宅用地,一级,1000,商业服务业设施用地,1.5-2.5,10,0,0,50,50,150,0,优, , ,优,优,优, ,B8227,1455,0,2.5,商业服务业设施用地,0.52706114
555,0,555,1,555,0,555,0,555,YB007,住宅用地,云表镇,2193,21.78170889,,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642002.49,2534975.956,863,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,26967.46849,26954.04,0,202,2019, ,674.7505851,450127114,18,建设用地,住宅用地,二级,630,城镇住宅用地,1.5-2.5,50,0,0,150,50,250,0,优, , ,优,优,优, ,B6568,630,0,2.5,城镇住宅用地,1.95200421
556,0,556,1,556,0,556,0,556,YB008,住宅用地,云表镇,2368,6.364211529,,,,,,,,,,,,,,,,,,,,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642069.72,2534973.101,863,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,26967.46849,26954.04,0,202,2019, ,674.7505851,450127114,18,建设用地,住宅用地,一级,1000,商业服务业设施用地,1.5-2.5,10,0,0,150,150,250,0,优, , ,较优,较优,较优, ,B8223,1455,0,2.5,商业服务业设施用地,0.54442233
557,0,557,1,557,0,557,0,557,YB009,住宅用地,云表镇,2052,0.451819765,,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642036.5,2535106.165,865,0601,工业用地,20,4501271140010000000,云表社区居委会,36101.32122,36083.35,0,202,2019, ,954.5477182,450127114,16,建设用地,工矿仓储用地,二级,180,城镇住宅用地,1.5-2.5,150,0,0,300,100,400,0,优, , ,较优,优,较优, ,B6577,630,0,2.5,城镇住宅用地,3.61013212
558,0,558,1,558,0,558,0,558,YZ01,住宅用地,云表镇,2100,12.50581568,,,,,,,,,,,,,,,,,,,,,,,,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642231.1,2534472.13,901,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,11143.75881,11138.2,0,202,2019, ,517.0566503,450127114,18,建设用地,住宅用地,二级,630,商业服务业设施用地,1.5-2.5,150,0,0,200,150,100,0,优, , ,优,优,优, ,B6500,800,0,2.5,商业服务业设施用地,1.11437588
559,0,559,1,559,0,559,0,559,YZ02,住宅用地,云表镇,2087,0,,,,,,,,,,,,,,,,,,,,,,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642259.69,2534499.754,918,1004,城镇村道路用地,10,4501271140010000000,云表社区居委会,1342.118433,1341.45,8.1,202,2019, ,346.8530306,450127114,28,不核价值类,交通运输用地,二级,0, , ,0,0,0,0,0,0,0, , , , , , , ,B2241,0,0,0,城镇村道路用地,0.13421184
560,0,560,1,560,0,560,0,560,YZ03,住宅用地,云表镇,2117,0.073996918,,,,,,,,,,,,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642174.93,2534539.514,901,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,11143.75881,11138.2,0,202,2019, ,517.0566503,450127114,18,建设用地,住宅用地,二级,630,商业服务业设施用地,1.5-2.5,150,0,0,200,150,100,0,优, , ,优,优,优, ,B6500,800,0,2.5,商业服务业设施用地,1.11437588
561,0,561,1,561,0,561,0,561,YZ04,住宅用地,云表镇,2170,4.27221278,,,,,,,,,,,,,,,,,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642167.42,2534508.839,894,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,7835.66036,7831.75,0,202,2019, ,404.5180194,450127114,18,建设用地,住宅用地,二级,630,商业服务业设施用地,0.5-1.5,200,0,0,150,200,200,0,优, , ,优,优,优, ,B6490,800,0,1.5,商业服务业设施用地,0.7178566
562,0,562,1,562,0,562,0,562,YZ05,住宅用地,云表镇,2222,7.099173888,,,,,,,,,,,,,,,,,,,,,,,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642276.32,2534596.488,899,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,6828.885207,6825.48,0,202,2019, ,443.7495131,450127114,18,建设用地,住宅用地,二级,630,商业服务业设施用地,2.5-3.0,75,0,0,150,100,50,0,优, , ,优,优,优, ,B6508,800,0,3,商业服务业设施用地,0.68288852
563,0,563,1,563,0,563,0,563,YZ06,住宅用地,云表镇,2170,0.841594651,,,,,,,,,,,,,,,,,,,,,,,,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642289.38,2534661.157,922,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,3052.874377,3051.35,0,202,2019, ,247.3229269,450127114,18,建设用地,住宅用地,二级,630,商业服务业设施用地,2.5-3.0,100,0,0,250,50,150,0,优, , ,优,优,优, ,B6514,800,0,3,商业服务业设施用地,0.30528744
564,0,564,1,564,0,564,0,564,YZ07,住宅用地,云表镇,2685,3.958966546,,,,,,,,,,,,,,,,,,,,,,,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642153.41,2534810.831,893,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,1718.324804,1717.47,0,202,2019, ,264.5652111,450127114,18,建设用地,住宅用地,一级,1000,科教文卫用地,0.5-1.5,0,0,0,0,0,0,0, , , , , , , ,B6532,310,0,1.5,科教文卫用地,0.17183248
565,0,565,1,565,0,565,0,565,YZ08,住宅用地,云表镇,2527,0.75428978,,,,,,,,,,,,,,,,,,,,,,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642187.1,2534921.795,912,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,4098.29771,4096.25,0,202,2019, ,289.0753143,450127114,18,建设用地,住宅用地,二级,630,商业服务业设施用地,1.5-2.5,75,0,0,250,150,250,0,优, , ,优,优,优, ,B6546,800,0,2.5,商业服务业设施用地,0.40982977
566,0,566,1,566,0,566,0,566,YZ09,住宅用地,云表镇,2461,3.040069251,,,,,,,,,,,,,,,,,,,,,,,,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642209.82,2534976.675,919,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,3303.470598,3301.82,0,202,2019, ,256.5533564,450127114,18,建设用地,住宅用地,二级,630,城镇住宅用地,1.5-2.5,100,0,0,300,200,350,0,优, , ,较优,优,较优, ,B6555,630,0,2.5,城镇住宅用地,0.33034706
567,0,567,1,567,0,567,0,567,YZ10,住宅用地,云表镇,2183,17.53727773,,,,,,,,,,,,,,,,,,,,,,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642363.27,2535047.721,959,0701,城镇住宅用地,20,4501271140010000000,云表社区居委会,4981.91447,4979.42,0,202,2019, ,284.9904671,450127114,18,建设用地,住宅用地,二级,630,城镇住宅用地,1.5-2.5,250,0,0,400,300,400,0,较优, , ,较优,较优,较优, ,B6565,630,0,2.5,城镇住宅用地,0.49819145
568,0,568,1,568,0,568,0,568,YZ11,住宅用地,云表镇,2252,20.49719036,,,,,,,,,,,,,,,,,,,,,,,,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642290.61,2535056.203,921,05H1,商业服务业设施用地,20,4501271140010000000,云表社区居委会,995.9291894,995.43,0,202,2019, ,148.8989326,450127114,15,建设用地,商服用地,二级,800, ,1.5-2.5,170,0,0,360,320,400,0,优, , ,较优,较优,较优, ,B6562,800,0,2.5,商业服务业设施用地,0.09959292
569,0,569,1,569,0,569,0,569,YZ12,住宅用地,云表镇,2685,1.5853932,,,,,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36642190.31,2534995.517,891,1005,交通服务场站用地,20,4501271140010000000,云表社区居委会,2316.24216,2315.09,0,202,2019, ,284.6163881,450127114,29,建设用地,交通运输用地,一级,0,商业服务业设施用地,1.5-2.5,50,0,0,200,200,250,0,优, , ,较优,较优,较优, ,B6554,1455,0,2.5,商业服务业设施用地,0.23162422
570,0,570,1,570,0,570,0,570,ZLX001,住宅用地,镇龙乡,1783,7.232333351,,,,,,,,,,,,,,,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36627465.32,2548573.305,1112,0701,城镇住宅用地,20,4501272040010000000,那州社区居委会,5985.900539,5983.5,0,203,2019, ,741.9641519,450127204,18,建设用地,住宅用地,一级,690,商服用地,2.5,0,0,0,0,0,0,0, , , , , , , ,B9031,920,0,2.5,商业服务业设施用地,0.24576203
571,0,571,1,571,0,571,0,571,ZLX002,住宅用地,镇龙乡,1757,7.032549158,,,,,,,,,,,,,,,,,,,,,,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36627422.87,2548585.053,649,0701,城镇住宅用地,20,4501272040010000000,那州社区居委会,1739.284317,1738.59,0,203,2019, ,271.6172739,450127204,18,建设用地,住宅用地,一级,690,商服用地,2.5,0,0,0,0,0,0,0, , , , , , , ,B9027,920,0,2.5,商业服务业设施用地,0.06031693
572,0,572,1,572,0,572,0,572,ZLX003,住宅用地,镇龙乡,1520,92.14889588,,,,,,,,,,,,,,,,,,,,,,,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36627428.13,2548822.293,651,0701,城镇住宅用地,20,4501272040010000000,那州社区居委会,1300.327882,1299.81,0,203,2019, ,147.3930494,450127204,18,建设用地,住宅用地,二级,380,商服用地,2.5,0,0,0,0,0,0,0, , , , , , , ,B8991,560,0,2.5,商业服务业设施用地,0.07178697
573,5,573,1,573,0,573,0,573,HZ001,住宅用地,横州镇,4309,20.15139026,0,3693166.9,,100,1,,旧城片区,100,居住用地,现状,1,0,居住用地,72349.4,现状,0,70,1,30,1,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629015.48,2510204.963,484,0701,城镇住宅用地,20,4501271000090000000,横州,36751.27,36736.17,0,202,2019, ,1364.805814,450127100,18,建设用地,住宅用地,J205,1438,城镇住宅用地,1.5-2.5,450,550,250,450,450,450,300,一般,一般,较优,一般,较优,较优,较优,B3919,1700,1438,2.5,城镇住宅用地,3.675127
574,5,574,1,574,0,574,0,574,HZ002,住宅用地,横州镇,4397,80.49111934,0,3693166.9,,100,1,,旧城片区,100,行政办公用地,现状,1,0,行政办公用地,90163.43,现状,0,70,1,40,1,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629379.07,2510228.971,525,0701,城镇住宅用地,20,4501271000090000000,横州,31106.62713,31093.78,0,202,2019, ,1329.762193,450127100,18,建设用地,住宅用地,J101,2695,城镇住宅用地,1.5-2.5,50,250,50,150,450,250,50,优,优,优,优,较优,优,优,B3922,2460,2695,2.5,城镇住宅用地,1.04810559
575,4,575,1,575,0,575,0,575,HZ003,住宅用地,横州镇,2989,15.46117446,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629420.86,2510950.186,531,0701,城镇住宅用地,20,4501271000090000000,横州,54743.71331,54721.1,0,202,2019, ,1095.335889,450127100,18,建设用地,住宅用地,J202,1911,城镇住宅用地,1.5-2.5,250,0,300,100,100,200,250,较优,优,较优,优,优,优,较优,B4173,1700,1911,2.5,城镇住宅用地,5.18271316
576,5,576,1,576,0,576,0,576,HZ004,住宅用地,横州镇,2989,18.73231261,0,3693166.9,,100,1,,旧城片区,100,居住用地,现状,1,0,居住用地,46402.61,现状,0,60,1,30,1,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629416.72,2510930.226,531,0701,城镇住宅用地,20,4501271000090000000,横州,54743.71331,54721.1,0,202,2019, ,1095.335889,450127100,18,建设用地,住宅用地,J202,1911,城镇住宅用地,1.5-2.5,250,0,300,100,100,200,250,较优,优,较优,优,优,优,较优,B4173,1700,1911,2.5,城镇住宅用地,5.18271316
577,5,577,1,577,0,577,0,577,HZ005,住宅用地,横州镇,2747,18.97325185,0,3693166.9,,100,1,,旧城片区,100,居住用地,现状,1,0,居住用地,106558.47,现状,0,70,1,60,1,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630671.97,2510127.006,674,0701,城镇住宅用地,20,4501271000090000000,横州,109539.5093,109493.43,0,202,2019, ,1754.670397,450127100,18,建设用地,住宅用地,J203,1628,城镇住宅用地,1.5-2.5,300,50,1000,50,250,100,675,较优,优,劣,优,优,优,较劣,B3964,1700,1628,2.5,城镇住宅用地,10.95395093
578,5,578,1,578,0,578,0,578,HZ006,住宅用地,横州镇,4489,14.70398649,0,3693166.9,,100,1,,旧城片区,100,居住用地,现状,1,0,居住用地,44503.42,现状,0,60,1,60,1,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630871.23,2510804.43,700,0701,城镇住宅用地,20,4501271000090000000,横州,36003.50445,35988.31,0,202,2019, ,945.7595238,450127100,18,建设用地,住宅用地,J203,1628,城镇住宅用地,1.5-2.5,550,150,950,100,200,100,700,一般,优,劣,优,优,优,较劣,B4131,1700,1628,2.5,城镇住宅用地,3.60035044
579,5,579,1,579,0,579,0,579,HZ007,住宅用地,横州镇,3883,15.5989398,0,3693166.9,,100,1,,旧城片区,100,行政办公用地,现状,1,0,行政办公用地,21640.32,现状,0,70,1,40,1,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629299,2510555.226,533,0701,城镇住宅用地,20,4501271000090000000,横州,6922.168151,6919.31,0,202,2019, ,467.8926147,450127100,18,建设用地,住宅用地,J202,1911,城镇住宅用地,2.5-3.5,100,150,200,50,300,150,300,优,优,优,优,优,优,较优,B4022,1700,1911,3.5,城镇住宅用地,0.69221682
